,Age,EdLevel,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed
0,<35,Master,Man,No,Dev,7,4,Sweden,51552.0,4,0
1,<35,Undergraduate,Man,No,Dev,12,5,Spain,46482.0,12,1
2,<35,Master,Man,No,Dev,15,6,Germany,77290.0,7,0
3,<35,Undergraduate,Man,No,Dev,9,6,Canada,46135.0,13,0
5,<35,Master,Man,No,Dev,9,2,France,38915.0,5,0
6,>35,Master,Man,No,Dev,26,18,Germany,77831.0,17,1
8,>35,Undergraduate,Man,No,Dev,39,21,United Kingdom of Great Britain and Northern Ireland,68507.0,3,0
9,>35,Master,Man,No,Dev,20,16,Russian Federation,37752.0,6,0
10,<35,Undergraduate,Man,Yes,Dev,4,2,Israel,122580.0,18,1
11,<35,Undergraduate,Man,Yes,Dev,6,2,Turkey,11832.0,13,1
12,<35,Master,Man,No,Dev,19,10,Germany,60535.0,5,0
13,<35,Undergraduate,Man,No,Dev,8,0,United States of America,103000.0,7,0
15,>35,Undergraduate,Man,Yes,Dev,22,15,Brazil,60480.0,16,1
16,<35,Other,Man,Yes,Dev,7,1,Bulgaria,20556.0,5,0
17,<35,Undergraduate,Man,No,Dev,12,6,Greece,25944.0,25,1
18,>35,Master,Man,Yes,Dev,34,12,United Kingdom of Great Britain and Northern Ireland,64630.0,14,1
19,>35,Master,Man,No,Dev,21,16,Italy,54049.0,17,1
21,>35,Other,Man,Yes,Dev,25,10,Canada,71850.0,6,0
22,>35,Master,Man,No,Dev,20,10,Spain,58373.0,7,1
23,>35,Undergraduate,Man,No,Dev,24,18,United Kingdom of Great Britain and Northern Ireland,129266.0,12,0
25,>35,Undergraduate,Man,No,Dev,25,15,United States of America,105000.0,6,0
27,>35,PhD,Man,No,Dev,10,8,Canada,151263.0,8,0
29,<35,Undergraduate,Man,No,Dev,12,7,Switzerland,43908.0,24,1
30,<35,Master,Man,No,Dev,25,6,Hungary,42336.0,21,1
31,>35,Other,Man,No,Dev,31,17,Canada,95295.0,10,1
32,<35,PhD,Man,No,Dev,18,1,United States of America,100000.0,8,0
33,>35,Undergraduate,Man,No,Dev,26,14,United Kingdom of Great Britain and Northern Ireland,61398.0,10,1
35,<35,Undergraduate,Man,No,Dev,10,4,Poland,27336.0,21,1
36,<35,Master,Man,No,Dev,10,7,Sweden,5216.0,4,0
37,<35,Master,Man,No,Dev,8,3,France,151337.0,11,0
38,<35,Other,Man,Yes,Dev,18,8,Germany,24648.0,18,1
39,<35,Undergraduate,Man,No,Dev,4,1,Pakistan,7788.0,5,0
40,>35,Master,Man,No,Dev,38,26,Switzerland,134176.0,14,1
41,<35,Undergraduate,Man,No,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,64630.0,8,1
42,<35,Undergraduate,Man,No,Dev,10,8,Spain,38915.0,13,1
43,<35,Undergraduate,Man,No,Dev,8,3,Nigeria,4944.0,11,0
44,<35,Other,Man,No,Dev,6,1,Germany,29508.0,33,1
45,<35,Master,Man,No,Dev,13,2,Italy,14268.0,17,1
46,<35,Undergraduate,Man,No,Dev,10,2,Netherlands,43239.0,17,1
47,<35,NoHigherEd,Man,No,Dev,3,0,Albania,48.0,8,0
48,<35,Undergraduate,Man,No,Dev,12,6,United States of America,140000.0,14,1
49,<35,Other,Man,No,Dev,6,4,Bangladesh,14124.0,26,1
51,<35,Master,Man,No,Dev,17,8,Viet Nam,21000.0,7,0
52,<35,Undergraduate,Man,No,Dev,7,1,United States of America,54000.0,10,1
53,>35,Master,Man,Yes,Dev,27,16,United States of America,200000.0,19,1
54,<35,Undergraduate,Man,No,Dev,17,5,Netherlands,36324.0,23,1
55,<35,Undergraduate,Man,Yes,Dev,1,3,United Kingdom of Great Britain and Northern Ireland,38778.0,20,1
