,YearsCodePro,PreviousSalary,ComputerSkills,YearsCodeBeforePro,LabelEmploymentStatus
0,4,51552.0,4,3,0
1,5,46482.0,12,7,1
2,6,77290.0,7,9,0
3,6,46135.0,13,3,0
5,2,38915.0,5,7,0
6,18,77831.0,17,8,1
8,21,68507.0,3,18,0
9,16,37752.0,6,4,0
10,2,122580.0,18,2,1
11,2,11832.0,13,4,1
12,10,60535.0,5,9,0
13,0,103000.0,7,8,0
15,15,60480.0,16,7,1
16,1,20556.0,5,6,0
17,6,25944.0,25,6,1
18,12,64630.0,14,22,1
19,16,54049.0,17,5,1
21,10,71850.0,6,15,0
22,10,58373.0,7,10,1
23,18,129266.0,12,6,0
25,15,105000.0,6,10,0
27,8,151263.0,8,2,0
29,7,43908.0,24,5,1
30,6,42336.0,21,19,1
31,17,95295.0,10,14,1
32,1,100000.0,8,17,0
33,14,61398.0,10,12,1
35,4,27336.0,21,6,1
36,7,5216.0,4,3,0
37,3,151337.0,11,5,0
38,8,24648.0,18,10,1
39,1,7788.0,5,3,0
40,26,134176.0,14,12,1
41,3,64630.0,8,7,1
42,8,38915.0,13,2,1
43,3,4944.0,11,5,0
44,1,29508.0,33,5,1
45,2,14268.0,17,11,1
46,2,43239.0,17,8,1
47,0,48.0,8,3,0
48,6,140000.0,14,6,1
49,4,14124.0,26,2,1
51,8,21000.0,7,9,0
52,1,54000.0,10,6,1
53,16,200000.0,19,11,1
54,5,36324.0,23,12,1
56,3,48600.0,28,2,1
57,25,59454.0,10,5,1
58,2,14652.0,8,2,0
59,34,200000.0,5,4,0
60,11,97288.0,22,16,1
61,5,75492.0,6,10,0
63,5,49725.0,12,2,1
64,25,70047.0,11,6,1
66,7,2340.0,19,13,1
67,24,115000.0,11,17,0
69,7,103408.0,15,1,1
70,8,42000.0,18,5,1
72,22,71093.0,1,20,0
73,4,17412.0,6,4,0
74,2,14844.0,9,2,0
76,14,54049.0,17,2,1
77,24,115784.0,15,2,1
78,6,56616.0,11,4,0
79,11,69183.0,7,3,0
80,18,25944.0,12,6,1
81,25,60752.0,4,10,0
82,3,16704.0,22,3,0
83,15,81420.0,18,8,0
84,3,14280.0,5,4,0
85,13,84019.0,15,7,1
86,18,63648.0,20,2,1
87,1,4620.0,17,4,1
88,9,70000.0,15,1,0
89,7,91883.0,20,5,0
90,2,30192.0,7,1,0
91,5,90000.0,12,5,1
93,6,50592.0,9,9,1
94,1,1512.0,32,9,1
96,4,28536.0,14,5,0
98,14,77556.0,15,10,1
99,14,103408.0,19,7,1
100,22,121979.0,7,6,0
101,9,75492.0,14,6,0
102,8,84316.0,29,2,1
103,26,43404.0,16,5,0
104,2,22584.0,14,4,1
105,7,103408.0,4,7,0
106,5,44320.0,20,10,1
107,22,165000.0,29,8,1
108,3,5268.0,13,10,1
109,5,51888.0,14,5,0
110,7,85500.0,16,5,0
112,9,64859.0,6,3,0
113,3,42158.0,11,3,0
114,7,32424.0,2,11,0
119,8,74588.0,3,5,0
120,4,33732.0,11,2,0
121,8,27852.0,12,5,1
122,3,50153.0,11,9,0
123,11,30716.0,13,4,1
124,7,77831.0,25,3,1
125,3,81624.0,13,4,1
127,2,10450.0,18,8,1
129,3,45396.0,8,7,0
130,2,19389.0,10,2,1
131,15,77831.0,8,9,0
132,13,160000.0,6,5,0
133,8,200409.0,9,4,0
134,31,185000.0,17,6,1
136,7,66897.0,21,2,1
137,0,75000.0,17,5,1
138,6,48472.0,12,2,0
139,16,120000.0,13,8,1
142,3,4272.0,17,2,1
143,4,28105.0,10,5,0
144,20,77832.0,10,10,0
147,15,43239.0,17,5,1
148,1,9231.0,6,5,0
149,15,70264.0,10,10,1
150,2,5388.0,18,3,1
151,13,115000.0,10,9,1
152,12,144000.0,22,9,1
153,4,65508.0,6,10,0
154,21,70264.0,5,10,0
155,34,181515.0,7,10,0
156,26,81000.0,13,14,0
158,5,56211.0,13,15,1
160,10,110000.0,6,4,0
161,7,64860.0,10,7,0
162,15,120000.0,21,10,1
163,0,6360.0,10,7,0
164,6,48644.0,20,5,1
165,11,54672.0,14,6,0
166,4,35676.0,15,2,1
167,4,75631.0,3,14,0
170,3,25944.0,15,1,0
171,2,5585.0,13,2,0
172,4,58000.0,8,11,0
173,6,61616.0,15,12,0
176,6,68068.0,10,5,0
177,5,217800.0,17,7,0
178,14,118908.0,9,16,0
179,1,40000.0,6,17,0
180,8,71850.0,12,7,1
181,14,66934.0,4,7,0
182,3,54216.0,8,5,0
183,10,64860.0,15,2,1
184,1,19860.0,10,5,0
185,1,54888.0,10,5,0
186,7,58373.0,17,1,0
187,20,56616.0,16,7,0
189,1,48104.0,2,1,0
190,20,84312.0,8,4,0
191,24,55582.0,7,1,0
192,27,71093.0,2,15,0
193,3,72000.0,30,4,1
194,21,60752.0,14,9,1
195,4,25944.0,16,5,1
196,16,179858.0,16,10,0
197,20,30372.0,6,6,1
198,6,29832.0,14,9,1
199,6,40020.0,16,4,1
201,3,67000.0,28,9,1
202,4,21676.0,8,8,0
203,16,101649.0,4,9,0
204,4,17352.0,22,2,1
205,16,195000.0,11,9,0
206,7,34380.0,10,1,0
207,23,155111.0,9,12,0
208,4,64860.0,12,12,1
209,12,123228.0,7,2,0
210,2,90000.0,14,4,0
213,5,54769.0,7,7,0
214,5,45564.0,16,2,1
215,7,25428.0,20,2,1
217,6,170000.0,24,4,1
218,3,19728.0,22,4,1
219,4,24132.0,8,5,0
220,6,54804.0,20,4,1
221,4,70000.0,13,5,1
222,8,42432.0,13,5,1
223,10,97288.0,13,5,1
224,2,40000.0,9,6,0
225,4,40212.0,30,2,1
226,4,15408.0,20,4,1
227,6,54224.0,8,1,0
228,7,81319.0,13,4,1
230,1,64859.0,17,5,1
231,30,62268.0,15,5,1
232,5,31750.0,18,7,1
233,2,100000.0,17,4,1
234,3,92000.0,14,2,0
235,4,34591.0,15,6,0
236,10,92500.0,23,10,1
237,12,135000.0,7,3,0
238,5,71093.0,24,4,1
239,5,42756.0,4,3,0
240,4,150000.0,11,4,1
241,19,65000.0,13,2,1
242,17,25944.0,11,1,1
244,15,48644.0,6,5,0
245,3,35672.0,10,7,0
246,7,64860.0,8,5,0
247,3,59454.0,8,7,0
248,9,45396.0,10,3,1
249,20,19452.0,17,8,1
250,2,22212.0,29,1,1
251,11,60000.0,29,7,1
252,35,110000.0,5,4,0
253,9,53832.0,14,6,1
254,2,18080.0,18,5,1
255,3,31128.0,11,8,0
256,12,96204.0,26,4,1
257,3,5448.0,9,3,0
258,6,88640.0,17,9,0
259,2,20539.0,18,4,1
260,21,190000.0,9,19,1
261,10,49765.0,3,20,0
262,8,57765.0,7,6,0
263,3,40000.0,6,3,0
264,2,37440.0,12,4,0
265,1,11724.0,16,2,1
266,13,111814.0,11,7,0
267,4,133000.0,11,1,0
268,13,69183.0,8,10,1
269,6,64737.0,8,14,0
270,8,47563.0,9,5,0
271,12,118908.0,12,4,0
272,6,69183.0,14,6,1
273,8,29320.0,23,2,1
274,8,70264.0,14,14,0
275,0,4008.0,4,1,0
277,21,51888.0,36,9,1
278,7,64859.0,17,15,1
279,17,59454.0,14,13,1
280,17,78750.0,6,3,0
282,0,6981.0,5,3,0
284,10,63854.0,5,7,0
285,10,123984.0,17,4,1
286,10,25944.0,11,3,0
287,0,2508.0,20,4,1
289,5,7788.0,13,4,1
290,5,72000.0,12,3,1
291,25,152473.0,11,9,1
293,6,85908.0,20,6,1
294,5,27144.0,15,4,1
295,0,8376.0,12,4,0
296,7,86478.0,19,4,1
297,8,45564.0,21,5,1
298,7,134028.0,2,9,0
299,25,98000.0,7,15,0
300,10,36708.0,9,7,1
301,18,54049.0,18,3,1
303,6,60744.0,17,7,1
304,3,5208.0,20,5,1
305,25,183767.0,8,11,0
306,2,25128.0,25,9,1
307,10,49725.0,18,7,1
308,4,36324.0,16,9,1
309,1,82000.0,11,2,0
310,10,105000.0,3,2,0
311,15,59454.0,27,10,1
312,2,28437.0,12,2,0
313,3,41004.0,9,1,1
315,9,135000.0,14,6,1
317,6,50806.0,14,4,1
318,3,41077.0,12,3,0
319,2,24912.0,15,1,0
320,5,45401.0,16,2,1
321,10,37620.0,23,2,1
322,8,200000.0,8,7,1
323,3,40489.0,16,8,1
324,10,58000.0,17,10,1
325,1,12828.0,8,1,0
326,3,48472.0,4,4,0
327,5,27528.0,15,2,1
328,0,19389.0,15,8,1
329,7,43239.0,7,4,0
330,8,16215.0,13,4,0
331,5,35676.0,6,5,0
332,11,180000.0,5,16,0
334,30,45396.0,53,5,1
336,1,8364.0,7,3,0
337,2,70000.0,7,1,0
339,20,130000.0,12,10,1
340,2,22512.0,5,1,0
341,4,2568.0,8,3,0
342,4,22536.0,28,1,1
344,8,32424.0,7,7,0
345,14,56208.0,20,27,1
346,33,175000.0,29,12,1
347,3,42156.0,13,6,1
348,8,91056.0,21,6,1
349,25,68068.0,11,10,0
351,2,9864.0,25,4,1
353,2,11832.0,26,1,1
354,7,41232.0,15,2,1
355,1,6852.0,14,1,0
356,5,39131.0,19,15,1
357,8,46644.0,20,2,1
358,4,72000.0,9,9,1
359,20,110000.0,19,13,1
360,12,45401.0,15,8,1
361,13,155000.0,9,5,1
362,9,54564.0,20,6,1
363,4,24300.0,17,8,1
364,14,75885.0,21,4,1
365,7,125000.0,6,5,0
366,35,70000.0,11,8,0
367,9,30000.0,14,6,1
368,4,105000.0,3,6,0
369,24,68724.0,3,5,0
371,3,40500.0,13,3,1
372,1,19152.0,3,5,0
373,1,12828.0,7,4,0
374,10,77832.0,17,10,1
375,0,16050.0,5,11,0
376,7,50928.0,13,7,0
377,1,5868.0,20,1,1
378,25,156000.0,29,10,1
379,20,155844.0,26,1,1
382,15,126083.0,10,7,1
383,6,51704.0,4,6,0
384,16,50806.0,10,4,0
385,30,108100.0,19,12,1
386,4,38400.0,14,6,0
388,2,45000.0,7,8,1
389,3,9773.0,14,7,1
390,4,45401.0,10,9,0
391,15,120000.0,17,5,1
392,8,66500.0,12,4,0
393,5,31224.0,9,15,1
395,5,7344.0,16,5,1
396,2,3444.0,15,9,1
398,5,49296.0,8,5,0
399,7,125000.0,21,8,0
400,6,46482.0,2,7,0
401,1,20112.0,21,7,1
402,10,29320.0,10,6,1
403,2,7548.0,8,2,0
404,22,116333.0,11,6,1
406,12,54049.0,13,5,1
407,6,32429.0,15,6,1
408,5,27240.0,3,6,0
409,1,71093.0,1,3,0
410,3,5496.0,7,5,0
411,2,14256.0,14,2,1
412,3,32429.0,18,10,1
413,25,160000.0,10,2,1
414,14,65976.0,19,4,1
415,6,27025.0,43,2,1
416,1,49160.0,14,8,0
417,3,64000.0,18,5,1
418,9,57156.0,15,7,1
419,10,39564.0,3,5,0
420,8,50411.0,4,22,0
422,4,59448.0,19,2,1
423,7,135000.0,5,7,0
424,14,105300.0,11,7,0
425,0,13332.0,24,9,1
426,4,46482.0,18,5,1
427,4,180000.0,13,10,0
428,4,17868.0,15,2,0
429,2,25944.0,5,2,1
430,2,74970.0,10,1,0
431,8,25980.0,27,7,1
432,3,52942.0,11,5,1
433,1,9729.0,12,2,1
434,2,40212.0,9,8,0
435,3,85000.0,19,4,1
436,4,8652.0,23,4,1
437,2,45401.0,10,4,0
438,15,120000.0,10,1,0
439,15,41232.0,16,3,1
440,11,155000.0,15,2,0
441,6,53388.0,14,9,1
442,2,54049.0,19,7,1
443,24,57720.0,9,1,1
444,7,54480.0,21,8,1
445,13,114000.0,8,2,0
446,6,34584.0,7,9,0
447,15,36804.0,19,9,1
448,11,51887.0,11,1,0
449,10,77831.0,10,5,0
450,4,32676.0,4,2,0
452,0,34428.0,16,3,1
453,21,81074.0,17,8,0
454,5,115000.0,17,10,1
455,5,55211.0,22,12,1
456,3,30216.0,14,9,1
457,23,206815.0,14,3,1
459,10,200000.0,33,4,1
460,10,142000.0,24,13,1
461,8,125000.0,17,2,1
462,3,84019.0,4,6,0
463,15,60972.0,15,15,1
464,5,31128.0,10,5,1
465,5,60744.0,16,3,0
466,0,51888.0,6,6,0
467,3,3504.0,11,4,0
468,19,51960.0,12,8,1
470,2,41040.0,9,4,0
471,12,175000.0,15,18,0
472,7,49941.0,14,12,1
473,7,18848.0,21,8,1
474,6,84312.0,11,8,0
475,7,81074.0,11,5,0
476,10,68102.0,4,5,0
477,5,17796.0,6,4,0
479,12,126000.0,3,10,0
480,10,28320.0,25,7,1
481,11,24948.0,7,1,0
482,1,5585.0,2,9,0
483,25,172957.0,14,5,1
484,2,35676.0,8,4,0
486,7,21641.0,15,2,1
487,2,72000.0,21,9,1
488,4,27900.0,11,1,1
490,1,8042.0,18,4,1
492,15,41568.0,19,4,1
493,9,190000.0,31,11,1
494,6,33552.0,21,7,1
495,3,81074.0,13,4,1
496,4,38916.0,12,4,1
497,37,220000.0,12,5,1
498,6,12564.0,6,4,0
499,8,45300.0,19,2,1
